species name,common name
Achillea millefolium,yarrow
Agave sp.,agave
Agave sp.,agave
Albizia sp.,silk tree
Amaryllis belladonna,jersey lilly
Araucaria araucana,monkey puzzle tree
Arctostaphylos sp.,manzanita
Arctostaphylos sp.,manzanita
Arctostaphylos sp.,manzanita
Arctostaphylos sp.,mazanita
Artemesia californica,California sagebrush
Artemesia californica,California sagebrush
Artemesia californica,california sagebrush
Artemesia californica 'canyon grey',california sagebrush 'canyon grey'
Arctostaphylos manzanita ssp. 'Dr. Hurd',manzanita (dr. hurd)
Asparagus setaceus,Asparagus Fern
Avena sp.,wild oat
Bambusa sp.,bamboo
Betula sp.,birch
Bouteloua dactyloides,buffalo grass
Camellia sp.,camellia
Campsis radicans,trumpet vine
Campsis radicans,trumpet vine
Cannabis salvia,cannabis
Carex praegracilis,clustered field sedge
Ceanothus sp.,ceanothus
Ceanothus sp.,ceanothus
Choisya ternata,Mexican orange blossom
Citrus sp.,citrus
Citrus sp.,"Citrus: Lemon, tangerine, lime, etc."
Cotoneaster sp.,cotoneaster
Crassula arborescens,jade
Crassula arborescens,jade
Cuphea grandiosa,false heather
Cycas sp.,cycads
Dymondia margaretae,silver carpet
Epilobium canum,california fuschia
Erigeron karvinskianus,Santa Barbara daisy
Eriogonum fasciculatum,California buckwheat
Eriogonum sp.,buckwheat
Eriogonum sp.,buckwheat
Eriogonum sp.,buckwheat
Eschscholzia californica ,california poppy
Eschscholzia californica ,california poppy
Eschscholzia californica ,california poppy
Eucalyptus globulus,eucalyptus
Eugenia uniflora,Eugenia
Fragaria chiloensis,beach strawberry
Galvesia speciosa 'Boca Rosa',island snapdragon
Gaura sp.,gaura
Heteromeles arbutifolia,toyon
Heteromeles arbutifolia,toyon
Heteromeles arbutifolia,toyon
Heteromeles arbutifolia,toyon
Heteromeles arbutifolia,toyon
Heteromeles arbutifolia,toyon
Heteromeles arbutifolia,toyon
Iris sp.,iris
Iris sp.,iris
Jacaranda mimosifolia,jacaranda
Jacaranda mimosifolia,jacaranda
Juniperus sp.,juniper
Lavandula sp.,lavender
Lavandula sp.,lavender
Lavandula sp.,lavender
Lavandula sp.,lavender
Myrtus communis 'Compacta',dwarf myrtle
NA,fern
NA,ferns
NA,Fruit trees
NA,Fruit trees
NA,grass lawn
NA,hedges
NA,Herbs
NA,last of spring
NA,lawn
NA,native grasses
NA,Succulents
NA,succulents
NA,succulents
NA,succulents
NA,succulents
NA,succulents
NA,Vegetables
Nerium oleander,oleander
Olea europaea,olive
Olea europaea,olive
Olea europaea,olive
Olea europaea,palm
Passiflora edulis,passion fruit
Persea americana,avocado
Philodendron sp.,Philodendron
Phoenix canariensis,canary island palm
Pinus halepensis,Aleppo Pine
Pittosporum sp.,cheesewood
Pittosporum sp.,cheesewood
Pittosporum tenuifolium,silver sheen tree
Plumaria sp.,plumaria
Podocarpus sp.,plum pine
Podocarpus sp.,plum pine
polygala dalmaisiana,sweet pea shrub
polygala dalmaisiana,sweet pea shrub
Prunus ilicifolia,Catalina cherry
Punica sp.,pomegranate
Quercus agrifolia,coast live oak
Quercus agrifolia,coast live oak
Quercus agrifolia,coast live oak
Quercus agrifolia,coast live oak
Quercus agrifolia,coast live oak
Quercus agrifolia,coast live oak
Quercus agrifolia,coast live oak
Quercus agrifolia,coast live oak
Quercus sp.,oak
Quercus sp.,oak
Quercus sp.,oak
Quercus sp.,oak
Quercus sp.,oak
Quercus sp.,oak
Rhaphiolepis indica,Indian hawthorne
Rhus integrifolia,lemonade berry
Ribes sp.,currant/gooseberry
Rosa sp.,rose
Rubus sp.,blackberry
Salvia rosemarinus,rosemary
Salvia rosemarinus,rosemary
Salvia rosemarinus,rosemary
Salvia rosemarinus,rosemary
Salvia sp.,purple spire sage
Salvia sp.,sage
Salvia sp.,sage
Salvia sp.,sage
Salvia sp.,sage
Sambucus niger,elderberry
Sambucus niger,elderberry
Sambucus niger,elderberry
Tipuana tipu,tipa
Ulmus parvifolia,chinese elm
Umbellularia californica,California bay
Umbellularia californica,California bay
Umbellularia californica,California bay
Vaccinium corymbosum,blueberries
Vinca major,Variegated periwinkle
Viola tricolor,pansy
Vitis sp.,grape
Wisteria sp.,wisteria
,
,
,
,
,
,