id,cup_no,area,xm,ym,perim,wet_mass,dry_mass
ARTCAL_1,76,0.481,7.065,6.664,11.036,12.335,12.197
ARTCAL_1,76,0.347,4.954,6.33,7.437,12.335,12.197
ARTCAL_1,76,0.423,11.139,6.173,9.746,12.335,12.197
ARTCAL_1,76,1.327,16.092,7.649,27.151,12.335,12.197
ARTCAL_1,76,0.418,12.817,7.557,7.016,12.335,12.197
ARTCAL_1,76,0.121,9.817,8.664,3.401,12.335,12.197
ARTCAL_1,76,0.075,16.102,8.72,1.725,12.335,12.197
ARTCAL_1,76,0.221,12.698,9.322,3.944,12.335,12.197
ARTCAL_1,76,0.281,17.413,10.388,7.413,12.335,12.197
ARTCAL_1,76,0.14,7.445,9.64,3.021,12.335,12.197
ARTCAL_1,76,0.361,5.932,11.433,10.116,12.335,12.197
ARTCAL_1,76,0.277,15.196,11.522,6.655,12.335,12.197
ARTCAL_1,76,0.156,10.244,10.931,4.386,12.335,12.197
ARTCAL_1,76,0.071,12.264,11.385,2.312,12.335,12.197
ARTCAL_1,76,0.025,15.729,11.023,0.761,12.335,12.197
ARTCAL_1,76,0.098,8.383,13.06,3.126,12.335,12.197
ARTCAL_1,76,0.066,11.872,12.869,1.998,12.335,12.197
ARTCAL_1,76,0.471,17.135,13.178,10.591,12.335,12.197
ARTCAL_1,76,0.479,6.324,13.928,12.285,12.335,12.197
ARTCAL_1,76,0.209,10.842,14.028,6.439,12.335,12.197
ARTCAL_1,76,0.579,15.507,15.028,13.069,12.335,12.197
ARTCAL_1,76,0.39,9.201,16.959,10.115,12.335,12.197
ARTCAL_1,76,0.228,13.276,16.108,5.477,12.335,12.197
ARTCAL_1,76,0.387,15.278,17.506,9.371,12.335,12.197
ARTCAL_1,76,0.329,7.064,16.452,7.077,12.335,12.197
ARTCAL_1,76,0.101,11.27,16.726,3.481,12.335,12.197
ARTCAL_1,76,0.365,5.885,17.983,9.948,12.335,12.197
ARTCAL_1,76,0.221,12.75,18.727,5.13,12.335,12.197
ARTCAL_1,76,0.402,9.615,20.154,10.454,12.335,12.197
ARTCAL_1,76,0.105,12.016,19.657,3.125,12.335,12.197
ARTCAL_1,76,0.515,15.927,20.884,11.33,12.335,12.197
ARTCAL_1,76,0.186,14.432,20.043,3.334,12.335,12.197
ARTCAL_1,76,0.321,6.962,21.08,8.89,12.335,12.197
ARTCAL_1,76,0.332,11.393,20.907,7.89,12.335,12.197
ARTCAL_1,76,0.352,13.396,21.791,7.894,12.335,12.197
ARTCAL_2,69,1.437,14.961,6.954,31.682,12.387,12.279
ARTCAL_2,69,0.141,6.989,6.188,4.087,12.387,12.279
ARTCAL_2,69,0.418,10.525,6.989,10.349,12.387,12.279
ARTCAL_2,69,0.616,7.01,8.668,14.598,12.387,12.279
ARTCAL_2,69,0.691,11.492,10.038,17.821,12.387,12.279
ARTCAL_2,69,0.399,15.197,10.653,11.091,12.387,12.279
ARTCAL_2,69,0.148,6.188,12.911,4.967,12.387,12.279
ARTCAL_2,69,0.144,4.11,12.753,3.826,12.387,12.279
ARTCAL_2,69,0.271,15.102,13.329,8.167,12.387,12.279
ARTCAL_2,69,0.393,12.541,13.591,12.54,12.387,12.279
ARTCAL_2,69,0.061,8.263,13.145,2.106,12.387,12.279
ARTCAL_2,69,0.05,5.022,13.328,1.493,12.387,12.279
ARTCAL_2,69,0.07,9.908,13.589,2.692,12.387,12.279
ARTCAL_2,69,0.16,4.689,14.882,4.779,12.387,12.279
ARTCAL_2,69,0.124,3.972,14.246,3.497,12.387,12.279
ARTCAL_2,69,0.061,2.789,14.442,2.374,12.387,12.279
ARTCAL_2,69,0.11,5.378,14.684,2.462,12.387,12.279
ARTCAL_2,69,0.116,6.573,14.907,4.006,12.387,12.279
ARTCAL_2,69,0.248,12.84,15.876,8.117,12.387,12.279
ARTCAL_2,69,0.097,3.434,15.352,3.211,12.387,12.279
ARTCAL_2,69,0.083,5.384,15.808,2.13,12.387,12.279
ARTCAL_2,69,0.296,10.384,16.489,9.022,12.387,12.279
ARTCAL_2,69,0.063,8.855,16.05,2.328,12.387,12.279
ARTCAL_2,69,0.148,15.104,16.22,4.878,12.387,12.279
ARTCAL_2,69,0.145,7.086,16.766,4.294,12.387,12.279
ARTCAL_2,69,0.183,4.237,17.127,4.631,12.387,12.279
ARTCAL_2,69,0.073,12.694,16.833,2.193,12.387,12.279
ARTCAL_2,69,0.021,2.896,17.176,0.703,12.387,12.279
ARTCAL_2,69,0.124,11.862,18.039,4.258,12.387,12.279
ARTCAL_2,69,0.144,9.063,18.473,4.821,12.387,12.279
ARTCAL_2,69,0.248,5.28,18.722,6.264,12.387,12.279
ARTCAL_2,69,0.148,3.541,18.571,4.174,12.387,12.279
ARTCAL_2,69,0.283,15.067,18.677,7.218,12.387,12.279
ARTCAL_2,69,0.191,7.669,19.53,5.663,12.387,12.279
ARTCAL_2,69,0.027,4.124,19.325,0.659,12.387,12.279
ARTCAL_2,69,0.095,10.756,19.638,3.193,12.387,12.279
ARTCAL_2,69,0.122,9.58,20.48,3.548,12.387,12.279
ARTCAL_2,69,0.765,14.84,21.417,14.898,12.387,12.279
ARTCAL_3,61,1.071,14.466,5.354,20.628,12.398,12.26
ARTCAL_3,61,0.294,12.113,4.519,7.395,12.398,12.26
ARTCAL_3,61,0.671,9.11,4.242,12.471,12.398,12.26
ARTCAL_3,61,0.892,5.123,5.376,16.587,12.398,12.26
ARTCAL_3,61,0.052,6.071,4.506,1.106,12.398,12.26
ARTCAL_3,61,0.389,8.203,8.578,8.405,12.398,12.26
ARTCAL_3,61,1.614,11.523,10.073,16.966,12.398,12.26
ARTCAL_3,61,0.263,5.273,8.84,5.372,12.398,12.26
ARTCAL_3,61,0.338,7.075,13.707,8.102,12.398,12.26
ARTCAL_3,61,0.384,15.681,12.748,7.925,12.398,12.26
ARTCAL_3,61,0.35,3.814,13.738,8.102,12.398,12.26
ARTCAL_3,61,0.351,10.382,14.103,8.081,12.398,12.26
ARTCAL_3,61,0.425,13.611,14.668,8.571,12.398,12.26
ARTCAL_3,61,1.154,6.757,18.373,16.248,12.398,12.26
ARTCAL_3,61,0.25,13.739,18.027,6.638,12.398,12.26
ARTCAL_4,19,0.505,12.263,5.071,12.535,12.236,12.143
ARTCAL_4,19,0.518,15.539,5.26,10.752,12.236,12.143
ARTCAL_4,19,0.25,8.763,4.836,7.092,12.236,12.143
ARTCAL_4,19,0.506,5.903,5.319,8.015,12.236,12.143
ARTCAL_4,19,0.166,9.046,6.829,4.804,12.236,12.143
ARTCAL_4,19,0.123,7.497,8.494,3.001,12.236,12.143
ARTCAL_4,19,0.183,12.72,9.053,5.153,12.236,12.143
ARTCAL_4,19,0.361,14.783,9.185,9.862,12.236,12.143
ARTCAL_4,19,0.073,5.49,8.526,1.793,12.236,12.143
ARTCAL_4,19,0.088,10.257,8.401,2.082,12.236,12.143
ARTCAL_4,19,0.282,4.948,11.011,7.795,12.236,12.143
ARTCAL_4,19,0.212,7.53,11.107,6.35,12.236,12.143
ARTCAL_4,19,0.021,15.831,10.447,0.539,12.236,12.143
ARTCAL_4,19,0.527,9.898,11.977,13.733,12.236,12.143
ARTCAL_4,19,0.052,15.074,11.387,1.447,12.236,12.143
ARTCAL_4,19,0.035,12.889,11.465,1.375,12.236,12.143
ARTCAL_4,19,0.402,12.241,14.336,12.84,12.236,12.143
ARTCAL_4,19,0.73,15.312,14.193,14.563,12.236,12.143
ARTCAL_4,19,0.101,6.049,14.171,2.787,12.236,12.143
ARTCAL_4,19,0.406,9.253,15.272,11.203,12.236,12.143
ARTCAL_4,19,0.054,4.964,14.749,1.589,12.236,12.143
ARTCAL_4,19,0.087,6.35,15.068,2.371,12.236,12.143
ARTCAL_4,19,0.049,4.053,15.601,1.611,12.236,12.143
ARTCAL_4,19,0.149,14.544,16.319,2.641,12.236,12.143
ARTCAL_4,19,0.152,7.47,16.971,4.661,12.236,12.143
ARTCAL_4,19,0.1,4.488,16.808,2.719,12.236,12.143
ARTCAL_4,19,0.128,15.197,17.287,4.311,12.236,12.143
ARTCAL_4,19,0.097,10.475,17.126,3.79,12.236,12.143
ARTCAL_4,19,0.247,12.803,17.675,5.214,12.236,12.143
ARTCAL_4,19,0.051,4.006,17.756,1.236,12.236,12.143
ARTCAL_4,19,0.022,6.548,17.818,0.611,12.236,12.143
ARTCAL_4,19,0.064,6.394,18.088,1.257,12.236,12.143
ARTCAL_4,19,0.046,5.378,18.346,1.557,12.236,12.143
ARTCAL_4,19,0.411,15.483,19.162,10.165,12.236,12.143
ARTCAL_4,19,0.274,6.454,19.806,7.55,12.236,12.143
ARTCAL_4,19,0.052,12.551,19.766,1.768,12.236,12.143
ARTCAL_4,19,0.059,9.884,19.575,1.606,12.236,12.143
ARTCAL_4,19,0.042,8.723,20.017,1.882,12.236,12.143
ARTCAL_4,19,0.081,12.924,20.533,2.164,12.236,12.143
ARTCAL_4,19,0.064,10.885,20.636,1.966,12.236,12.143
ARTCAL_5,3,0.871,14.651,5.03,17.453,12.229,12.126
ARTCAL_5,3,0.52,10.163,5.229,9.429,12.229,12.126
ARTCAL_5,3,0.274,6.788,7.094,6.057,12.229,12.126
ARTCAL_5,3,0.464,14.721,8.022,12.669,12.229,12.126
ARTCAL_5,3,0.166,12.462,8.418,4.099,12.229,12.126
ARTCAL_5,3,0.033,10.462,8.527,1.114,12.229,12.126
ARTCAL_5,3,0.095,6.229,10.02,3.017,12.229,12.126
ARTCAL_5,3,0.093,8.778,9.925,2.712,12.229,12.126
ARTCAL_5,3,0.359,15.11,10.134,6.867,12.229,12.126
ARTCAL_5,3,0.054,7.563,11.112,1.463,12.229,12.126
ARTCAL_5,3,0.129,11.347,11.862,3.638,12.229,12.126
ARTCAL_5,3,0.209,5.898,12.635,4.944,12.229,12.126
ARTCAL_5,3,0.243,15.982,12.906,5.163,12.229,12.126
ARTCAL_5,3,0.151,8.448,13.369,3.986,12.229,12.126
ARTCAL_5,3,0.145,11.119,13.69,3.993,12.229,12.126
ARTCAL_5,3,0.361,15.069,14.16,7.532,12.229,12.126
ARTCAL_5,3,0.081,7.512,13.564,1.995,12.229,12.126
ARTCAL_5,3,0.116,9.387,14.603,3.347,12.229,12.126
ARTCAL_5,3,0.318,4.469,14.361,6.491,12.229,12.126
ARTCAL_5,3,0.144,13.664,15.934,3.755,12.229,12.126
ARTCAL_5,3,0.422,6.003,15.562,7.453,12.229,12.126
ARTCAL_5,3,0.151,9.982,15.699,3.703,12.229,12.126
ARTCAL_5,3,0.224,10.627,16.693,5.544,12.229,12.126
ARTCAL_5,3,0.468,5.541,18.351,8.695,12.229,12.126
ARTCAL_5,3,0.162,11.02,17.846,3.804,12.229,12.126
ARTCAL_5,3,0.185,8.868,18.901,4.324,12.229,12.126