Date,Input_by,Species,Plant,Trt,Total_branch_mass,Total_leaf_mass,alternative_length,notes
2022-07-13,RD,MALLAU,P1,W,24.362,22.445,,
2022-07-13,RD,MALLAU,P2,W,28.735,25.725,,
2022-07-13,RD,MALLAU,P3,W,23.764,20.78,,
2022-07-13,RD,MALLAU,P4,W,37.645,33.107,,
2022-07-13,RD,MALLAU,P5,W,34.761,28.245,,
2022-07-19,RD,HETARB,P1,W,24.302,23.548,10,
2022-07-19,RD,HETARB,P2,W,21.904,21.167,9.1,
2022-07-19,RD,HETARB,P3,W,22.874,21.94,12.3,
2022-07-19,RD,HETARB,P4,W,25.283,23.399,12.6,
2022-07-19,RD,HETARB,P5,W,27.077,25.455,14.5,
2022-07-19,RD,HETARB,P6,W,27.537,25.756,13.4,
2022-07-20,JL,HETARB,P7,W,23.496,22.179,15.3,
2022-07-20,JL,CEAGRI,P1,W,20.522,19.283,,
2022-07-20,JL,CEAGRI,P2,W,23.899,21.342,,
2022-07-20,JL,CEAGRI,P3,W,23.117,21.103,,
2022-07-20,JL,CEAGRI,P4,W,20.026,19.452,,
2022-07-26,RD,SALAPI,P1,W,27.5,24.684,,
2022-07-26,RD,SALAPI,P2,W,26.913,23.482,,
2022-07-26,RD,SALAPI,P3,W,23.246,21.28,17.5,
2022-07-26,RD,SALAPI,P4,W,30.242,25.695,,
2022-07-26,RD,SALAPI,P5,W,25.084,20.441,,
2022-07-26,RD,SALAPI,P6,W,23.387,20.58,21.5,
2022-07-26,RD,SALAPI,P7,W,20.349,19.456,12.2,
2022-07-26,RD,SALAPI,P8,W,21.644,20.489,13.6,
2022-07-27,SM,SALLEU,P1,W,20.491,18.277,,
2022-07-27,SM,SALLEU,P2,W,20.025,18.351,,
2022-07-27,SM,SALLEU,P3,W,22.515,18.698,,
2022-08-02,RD,ERIKAR,P1,W,17.316,17.163,,2 flowers
2022-08-02,RD,ERIKAR,P2,W,17.237,17.124,,1 flower
2022-08-02,RD,ERIKAR,P3,W,17.269,17.158,,
2022-08-03,RD,ARTCAL,P1,W,17.98,17.541,,
2022-08-03,RD,ARTCAL,P2,W,18.921,18.395,,
2022-08-03,RD,ARTCAL,P3,W,18.635,18.1,,
2022-08-03,RD,ARTCAL,P4,W,18.393,17.702,,
2022-08-03,RD,ARTCAL,P5,W,18.44,17.396,,
2022-08-03,RD,ARTCAL,P6,W,18.575,17.712,,
2022-08-09,RD,MALLAU,P6,W,21.548,20.026,20,
2022-08-09,RD,MALLAU,P7,W,31.38,28.203,,
2022-08-09,RD,MALLAU,P8,W,25.144,23.23,,
2022-08-09,RD,MALLAU,P9,W,34.96,31.592,,
2022-08-09,RD,MALLAU,P10,W,30.827,27.645,,heavily infested with scale
2022-08-10,RD,MANDEN,P1,W,20.347,19.505,14.7,
2022-08-10,RD,MANDEN,P2,W,20.717,19.487,20.5,
2022-08-10,RD,MANDEN,P3,W,19.307,18.495,12,
2022-08-10,RD,MANDEN,P4,W,19.015,18.47,12.1,
2022-08-10,RD,MANDEN,P5,W,18.182,17.984,5.6,
2022-08-10,RD,HETARB,P8,W,30.867,28.933,13.6,
2022-08-10,RD,IRIDOU,P1,W,20.104,20.104,19,"IRIDOU- 5 leaves weighed for both branch and leaf mass, leaves trimmed to 19 cm to fit scanner"
2022-08-10,RD,IRIDOU,P2,W,19.109,19.109,19,
2022-08-16,RD,SALLEU,P4,W,20.746,18.692,,
2022-08-16,RD,SALLEU,P5,W,18.99,17.828,,
2022-08-16,RD,SALLEU,P6,W,20.172,18.326,,
2022-08-17,RD,SALLEU,P7,W,19.759,17.818,,
2022-08-17,RD,MANDEN,P6,W,19.021,18.469,8.5,
2022-08-17,RD,SALAPI,P9,W,30.806,26.121,,
2022-08-17,RD,SALAPI,P10,W,21.733,20.269,17.4,
2022-08-17,RD,IRIDOU,P3,W,20.034,20.034,19,
2022-08-23,RD,ERIKAR,P4,W,17.848,17.53,,2 flowers
2022-08-23,RD,ERIKAR,P5,W,17.5,17.35,,
2022-08-23,RD,ERIKAR,P6,W,17.563,17.358,,
2022-08-24,SM,SALAPI,P9,W,19.466,21.913,,
2022-08-24,SM,SALAPI,P10,W,19.652,21.6,22,
2022-08-24,SM,SALLEU,P8,W,19.933,18.691,,
2022-08-24,SM,SALLEU,P9,W,17.78,17.37,,
2022-08-24,SM,SALLEU,P10,W,17.835,17.962,,
2022-08-25,RD,ARTCAL,P7,W,18.281,17.715,,
2022-08-25,RD,ARTCAL,P8,W,18.135,17.615,,
2022-08-25,RD,ARTCAL,P9,W,17.644,17.25,,
2022-08-30,RD,ARTCAL,P10,W,17.539,17.294,,
2022-08-30,RD,IRIDOU,P4,W,18.468,18.468,19,
2022-08-30,RD,IRIDOU,P5,W,18.796,18.796,14,
2022-08-30,RD,IRIDOU,P6,W,17.679,17.679,13,
2022-08-30,RD,IRIDOU,P7,W,19.362,19.362,19,
2022-08-31,SM,HETARB,P9,W,17.14,18.373,11.5,
2022-08-31,SM,HETARB,P10,W,19.002,24.53,18.5,
2022-08-31,SM,HETARB,P11,W,17.689,21.255,13,
2022-08-31,SM,HETARB,P12,W,18.04,20.784,13.5,
2022-09-02,RD,ERIKAR,P7,W,17.43,17.623,,
2022-09-02,RD,ERIKAR,P8,W,17.735,17.581,,
2022-09-02,RD,ERIKAR,P9,W,17.456,17.326,,
2022-09-02,RD,ERIKAR,P10,W,17.408,17.298,,
2022-10-04,RD,CEAGRI,P5,W,22.033,19.49,,
2022-10-04,JL,CEAGRI,P6,W,18.112,17.823,,
2022-11-22,RF,QUEAGR,P1,W,25.353,28.405,,total branch mass was measured as total stem mass
2022-11-29,RD,QUEAGR,P2,W,32.498,26.017,,
2022-11-29,RD,QUEAGR,P3,W,25.55,23.464,,
2022-12-20,RD,QUEAGR,P4,W,32.83,24.207,,
2023-01-03,RD,QUEAGR,P5,W,32.04,23.91,,
2023-01-03,RD,QUEAGR,P6,W,46.141,34.47,,
2023-01-06,RD,QUEAGR,P7,W,29.762,22.893,,
2023-01-06,RD,QUEAGR,P8,W,31.294,23.563,,
2023-02-15,RD,EUGL,P1,W,26.549,23.688,,
2023-03-08,RD,EUGL,P2,W,32.55,27.463,,